标题,户型,租房方式,房屋大小,房屋朝向,楼层,小区名称,地址,房租,地铁,房屋配置,房屋描述
殷陈小区(工业南路) 3室1厅1卫 2300元月 精装修,3室1厅1卫,整租,100O,南北,低层 / 32层,殷陈小区(工业南路),"历城济钢 - 工业南路,近飞跃大道",2300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",来《国源美寓》享受《爱情公寓》般的居住方式，首月房租减半【仅限十天】，物业取暖全免。在这里，不会存在带老人小孩，养宠物的人，都是正常的上班族，给你营造一个舒适安静的居住环境。在这里，你有灵活的*方式，可以压一付一，付三，付六，付十二，适合各个层次的人群。在这里，我们有每月两次查房，配合你解决一切问题，为你营造一个安全舒适的生活环境。在这里，你不用担心家具家电的损坏造成你工作的困扰，我们有专门上门维修的师傅，不会影响你正常的工作。也许在这里，你也会像爱情公寓里的人一样找到自己心仪的对象。所以心动不如行动，我24*在这等你，时间不等人，十天活动时间只有九天了，微信随时等你！
急急急 中建凤栖第 自住标准 拎包入住 随时看房 手慢则无,2室2厅1卫,整租,87.9O,南北,高层 / 33层,中建凤栖第,历城建筑大学 - 凤歧路3566号,2400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房源描述1，房子双卧室朝阳，全明户型，客厅带阳台，采光好！2，价格合理，干净卫生！3，室内带简单装修，可以做饭洗澡，家具齐全！4，中间楼层，小区位置，安全安静！5，24H保安执勤，门禁出入封闭社区！6，配套齐全，门口有商业街，交通便利，紧邻公交车站！建大：建筑大学建大花园精装三室拎包入住房子有车位位置好
鑫苑鑫中心 实图实价无中介  铂瑞斯 齐鲁华能路 科技,1室1厅1卫,整租,42.86O,南,高层 / 18层,鑫苑鑫中心,历城东风 - 华信路1号,2798,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","中介勿扰中介勿扰中介勿扰1、公寓直租（不收取任何附加费用）一年起租（可短租）（可短租）（可短租）支持月付，季付，半年付，年付。（无中介费，月付无压力，付款方式不同，价格相应不同）全部房源为真实有效房源都实图实价2、房源充足（房源分布广，历城区、历下区、天桥区、市中区、高新区均有房源）3、房屋精装修标配风格家具、WIFI,空调，热水器，洗衣机等，专属管家服务，安全有保障4、不玩虚假套路，真情实意的为您挑选且合适的房源！"
整租，许商办事处多层楼房，三室两厅一卫，家具家电齐全拎包入住,3室2厅1卫,整租,107O,南北,共5层,滨河壹号,商河商河城区 - 滨河路,1350,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",整租，许商办事处多层楼房，三室两厅一卫，家具家电齐全拎包入住，停车方便，免物业费
大明湖 长途汽车站 三孔桥 山钢锦绣华府 个人实图实价无中介,3室2厅1卫,整租,137O,南,高层 / 23层,山钢锦绣华府,天桥三孔桥 - 三孔桥街57号,3500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房源覆盖：历城区，天桥区，高新区，历下区！整租一室两室公寓小区精装豪装房源多多质询＋↓付款方式：可押一付三！半年付，年付可优惠！租期：限长租！1，随时电话联系看房如不方便可加：（卫心）看序列号！↓→（1）（7）（5）（6）（2）（1）（3）（2）（5）（2）（6）2，全套宜家风格家具家电，设施齐全3，房源多多户型多多联系我多样户型任你挑选3，专属管家服务，安全保障4，全部实拍图，无P图，精装修，适合追求精致小资生活的人士也许你一个人在外打拼，背井离乡，不远千里落脚在这座城市里，因此，愿租房这件小事，能为你留下美好温馨的回忆...
可短租，可月付，精装修，紧邻齐鲁软件园，美莲广场，拎包入住,1室1厅1卫,整租,33O,南,中层 / 30层,万科麓公馆,高新齐鲁软件园 - 舜风路,1400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",精装单间会展中心齐鲁软件园万达拎包入住，小区环境优雅，物业正规，管理严格，适宜居住，设施齐全，全套家具家电，拎包即可入住！1、位置优越：小区周边商铺众多；紧邻国际会展中心万达广场银座华润万家丁豪广场美莲广场，购物方便。2、交通便利：地处工业南路主干道两侧周边，路过公交车多条线路包括：138、63、10、47、99、122、308、311、318、319、321、322、K160、K162、K163、150、503、40、K166、87等，出行方便。4、上班方便：紧邻齐鲁软件园丁豪广场国际会展中心银河大厦三庆财富中铁财智省立东院舜泰广场浪潮集团美莲广场留学人员创业园大学科技园奥盛大厦5、配套设施齐全包括：床、大衣柜、电脑桌、椅子、鞋架、衣架、冰箱、空调、全自动洗衣机、热水器等
出租化纤厂路花园路科苑小区北区精装婚房，楼层好，拎包入住,2室2厅1卫,整租,85O,南北,低层 / 7层,科苑小区(北区),历下花园路 - 化纤厂路,2800,距离地铁R3号线花园东路站1317米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带']",【科苑小区】:化纤厂路与花园路交汇处，高档小区，有天然气和暖气，小区停车方便。【户型】:精装修，两室两厅一卫，家电家具都有，拎包入住，双气，户型正气，大客厅气度华贵，一家人甜蜜的美好时光。主营楼盘有：保利海德公馆、辛甸花园、富翔天地，七里河小区、百花小区、锦绣泉城、华龙路单位宿舍，华信花园，逸东花园、鑫苑鑫中心、上海花园、东方花园、假日丽景、大地锐城、茗筑华府、蓝调国际、御华嘉苑、凯旋公馆、花园小镇，科苑小区，新馨翠家园、翡翠大观、保利华庭、万科城、丰奥嘉园等高档小区。
精装修王官庄两室一厅。非常干净。家具家电齐全。拎包入住，急租,2室1厅1卫,整租,70O,南,中层 / 6层,王官庄小区(九区),市中王官庄 - 南辛庄西路,1400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋特征：，装修很好，房主收拾的非常温馨舒适，空调，冰箱，洗衣机全都配齐，周边配套：房子在王官庄，成熟社区，配套设施齐全，生活方便，靠近大众广场，华润超市，菜市场，交通情况：交通便利，102.104.21.29.13.125.K92路等公交车路线经过。
温馨居家小三室 居住舒适 环境优美 期待您的光临,3室2厅1卫,整租,97O,南北,高层 / 22层,实力伴云居,"槐荫经十西路 - 经十路,近腊山北路",1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '可做饭', '阳台']",小区介绍：拥有30%以上的绿化率，堪称天然氧吧。门口就有公交车站地铁站，上下班方便。房源介绍：这套房子户型超好，大厅主卧朝向合理，特别敞亮，每个房间都很大，采光相当好业主情况：业主诚心出租，随时看房，资深房产顾问的我竭诚为您服务！
泉景秀园 精装一室 家具家电齐全 拎包入住 紧邻欧亚大观,1室1厅1卫,整租,77O,南北,高层 / 12层,泉景天沅秀园,市中郎茂山 - 刘长山路33号,1700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",交通便利封闭式小区人身安全有保障人文素质极高生活配套齐全
可短租 精装挑空复式 凤凰SOHO 一室一厅 高新万达,1室1厅1卫,整租,60O,西,低层 / 18层,凤凰SOHO,高新国际会展中心 - 凤凰路,2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、位置：高新花园东路和凤凰路口2、户型：复式公寓楼上卧室楼下客厅厨房卫生间3、配套：双人床、床头柜、衣橱、沙发、茶几、电视机电视机柜、冰箱、洗衣机、空调、整体厨房油烟机、整体卫生间热水器等全套家居家电4.有钥匙随时看房随时入住好房5、高新工业南路、奥体中路、奥体中心、高新会展中心、汉峪、齐鲁软件园高新万达广场及凤凰路周边房源都有，需要的客户可以随时联系我。点击我的头像可直接进入我的网络门店查看更好！
家具齐全，拎包入住，停车方便,3室2厅1卫,整租,119.5O,南北,中层 / 32层,恒大绿洲,长清恒大绿洲 - 大学路6677号,2000,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",南北通透。户型好，家具齐全，拎包入住，交通便利
可月付 东八区对面 唐冶西路 贞观街 唐官小区 火炬东第 精,1室0厅1卫,整租,30O,南北,中层 / 32层,龙湖春江悦茗,"历城唐冶 - 唐冶西路,近文苑街",750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",质房源出租:独立厨卫房源出租区域：高新区、历下区、历城区、唐冶区出租房源描述：独立厨卫一居，家具家电齐全，拎包入住，交通便利，生活设施齐全，住户长租包管理、维修，小区出行方便。价位：性价比颇高，良心价位800-1500，都是独卫。合租房源：600-800，两户合租，卫生干净。环境优美，不良客户不要，只租正常上班年轻人，上班点正常且白班。负责小区：山水华府、舜奥华府、东城逸家逸贤园、华皓英伦联邦、三盛国际、涵玉翠岭、兴旺家园、汉峪海风、瀚裕华园、凤凰国际、北湖小区、林景山庄、金域华府、三庆城市主人、三箭汇福山庄、天齐奥东花园、建大花园、恒大奥都新都、金域蓝
精装一室一厅以一厨一卫下楼就是万达临近省立医院和谐广场经七路,1室1厅1卫,整租,55O,南北,中层 / 18层,林祥南街7号院,市中经四万达 - 林祥南街7号,1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。也许你一个人在外打拼，背井离乡，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆…...2、水费电费都是正规居民用电用水费用标准；绝无乱收费现象；照片自己拍的；可靠真实！交通便利，短时间就可以步行到公交站牌；周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！交通便利、小区安全【更无任何/中/介/费/用】随时看房拎包入住！年龄超过40岁，孕妇、带小孩的、养宠物的，有不良嗜好的我一律不租，因为我这里的租
实力伴云居 居家自住 两室一厅 家具家电齐全,2室1厅1卫,整租,66O,北,高层 / 22层,实力伴云居,"槐荫经十西路 - 经十路,近腊山北路",1600,无,"['空调', '床', '沙发', '衣柜', '可做饭', '阳台']",小区介绍：环境舒适宜人封闭式花园小区小区内有超市，周边有明星菜市场和腊山农贸市场房源介绍：房屋家具家电设施齐全采光好，全明户型附近有81路109路78路96路202路等多路公交车出门交通便利，地铁口就在小区对面，小区内有地上地下停车位
新分龙泉新都 2室  全部新家具家电 月租1000,2室2厅1卫,整租,90O,南北,中层 / 11层,龙泉新都,长清文昌 - 龙泉街,1000,无,"['电视', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、楼南娱乐广场、人造湖、孔雀园、猴园；2、距离早市百米之遥；3、太阳能热水器，出入方便，环境好，紧靠石麟小学幼儿园。4、临近五峰路富群超市早市，购物方便哈5、紧邻中医院、长清中学、工商银行、中国银行等
洪苑小区出租 家具家电给配齐 卧室内壁纸和地格给配 拎包入住,2室1厅1卫,整租,75.36O,南北,高层 / 6层,洪苑小区,历城花园路历城段 - 花园路,1199,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",（格局）2室1厅1卫，采光好，视野无遮挡。【价格】租金1199元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：75路、k93路、k55路、106路、165路（二环东路花园路站），brt4路、k93路、k55路、75路、106路、165路、70路、46路（鑫达小区站），brt4路、k905路、46路（花园路中段站）大学：山东大学、齐鲁工业大学、济南工会管理干部学院商场：环联小商品市场、历城商场、海蔚商城、淘宝街、银座商城、大润发医院：齐鲁中西医门诊部、山大医院老校门诊部、小区门诊邮局：历城区邮政局银行：中国农业发展银行济南历城支行、建设银行花园路中段分理处、工商银行，招商银行，邮政储蓄银行其他：h鸭源大酒店、金狮100超市化宾馆(二环东路)、环联大酒店、如家酒店小区内部配套：小区内有停车位、社区门诊、便利店、娱乐健身设施、小餐馆
0中介   华福国际 2室1900元月 电梯房 精装修,2室2厅1卫,整租,90O,南,低层 / 26层,华福国际,历城小清河 - 北园大街57号,1900,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",q.房屋南北通透通风良好宽敞明亮布局大方采光非常好.精装修房屋干净卫生整洁房屋布置温馨舒适窗明几净家电家具齐全可拎包入住.成熟商圈闹中取静周边菜市场超市小吃街娱乐公园医院银行学校运动场所无论你是吃货夜猫子各种宅还是爱逛街运动达人都能满足.小区环境优美绿化率高窗外一片好风景好的环境带给您好的心情.交通便利公交地铁BRT直达上班不迟到下班不拥挤鸺.房屋基本配置有床衣柜电脑桌椅子沙发冰箱洗衣机热水器WIFI等c.多种支付方式年付季付月付皆可.有专业保洁定期打扫卫生，让您住的舒适j.随时看房，全年无休、房间配置：海尔冰箱、海尔洗衣机、美的热水器、双人大床、橱柜、餐桌餐椅、衣柜、电脑桌椅、厨房、厕所、宽带、木地板一应俱全。
可月付短租 洪家楼 万达 还乡店 地铁口 政法学院 拎包入住,1室1厅1卫,整租,50O,南,中层 / 30层,周庄新园,历城祝甸 - 西周南路12号,1350,距离地铁R3号线八涧堡站966米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","豪装，宜家家居，新房，交通便利，预存水电。无1房间标配：宜家风格家具（双人床、衣橱、电脑桌椅、空调）。2、家电标配：冰箱、全自动洗衣机、热水器.电视.3、免费维修家具家电。4、智能门卡,一户一卡，智能电表，支付宝充电.5、专属管家服务，有问题及时解决。6、房租付三可选，交房租无压力"
汉峪金谷附近 景苑小区 三室 空调房 1900,3室1厅1卫,整租,97O,南北,低层 / 11层,景苑小区,高新经十路高新段 - 经十路,1900,无,"['空调', '热水器', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱空调热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
可月付 汉峪金谷 银座尚筑 重汽大厦 旅游路 舜泰广场 精装,1室0厅1卫,整租,45O,南北,中层 / 32层,中铁逸都国际,高新汉峪 - 旅游路15099号,1300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",可月付季付半年付（房屋租赁请选择正规的中介公司！所有中介公司的房源我们都有、为了让您在短时间内找到合适的房子、建议您找我们一家中介、避免电话过多看重复房源）我公司是一家只做酒店式公寓的租赁房产公司，因为专一，所以专业！！1.房间家具有：床，床头柜，衣柜，沙发，茶几，写字桌。电器有空调，洗衣机，热水器，冰箱，油烟机等。2.精装修家私家电齐全、拎包入住。3.楼层好、视野开阔、采光好、4.房东全新装修、诚心出租、房源性价比高、5.800--1500独立厨卫，不是合租房（房间朝向大小位置配套楼层都在影响价格）【小区配套】1、小区位置优越、空气质量好、2、小区有停
万科麓公馆 一居独卫 可短租1500  精装电梯房 无中介,1室1厅1卫,整租,32O,南,低层 / 32层,万科麓公馆,高新齐鲁软件园 - 舜风路,1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房间标配双人床，衣橱，书桌，热水器，空调洗衣机等，拎包即可入住，WIFI全覆盖，暖气，有厨房可做饭，2.交通方便，舜泰广场浪潮集团玉兰广场，步行上班无压力，每天睡到自然醒3.实名登记入住，安全放心。房屋精装修，要求有正当职业，无不良嗜好，不扰民，作息时间规律。商圈：汉峪金谷，舜泰广场，齐鲁软件园，奥体会展、丁豪广场、万达广场。高新区周围各个小区都有我的房源，任您挑选，欢迎来电咨询
长盛小区 2室1厅1卫 1500元月 60平 南北通透,2室1厅1卫,整租,60O,南北,中层 / 6层,长盛小区,历下老东门 - 东关大街38号,1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",更多同类好房源.请点击右上角我的头像进入我的店铺查看.欢迎致电。房屋详情：2室1厅，卧室朝阳，南北通透。双气，精装房，大床，油烟机，燃气灶，空调，冰箱，电视，挂衣橱，写字台，餐桌，热水器等，拎包入住周边配套：紧挨大明湖，老东门，奥斯卡。附近学校，医院，银行，公园餐饮，娱乐设施齐全！
长运小区 临近实验小学 交通方便 两室 1200,2室2厅1卫,整租,96O,南北,高层 / 6层,长运小区,长清文昌 - 中川街151号,1200,无,"['热水器', '床', '沙发', '衣柜', '可做饭', '阳台']",太阳能热水器，出入方便，环境好，紧靠实验小学。临近五峰路富群超市，购物方便哈
绿地IFC中央公馆 三室两卫 可短租3500 精装电梯无中介,3室1厅2卫,整租,128O,南北,低层 / 16层,绿地IFC中央公馆,"历下康虹路 - 工业南路,近丁家庄南路",3500,距离地铁R3号线丁家庄站635米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房间标配双人床，衣橱，书桌，热水器，空调洗衣机等，拎包即可入住，WIFI全覆盖，暖气，有厨房可做饭，2.交通方便，舜泰广场浪潮集团玉兰广场，步行上班无压力，每天睡到自然醒3.实名登记入住，安全放心。房屋精装修，要求有正当职业，无不良嗜好，不扰民，作息时间规律。商圈：汉峪金谷，舜泰广场，齐鲁软件园，奥体会展、丁豪广场、万达广场。高新区周围各个小区都有我的房源，任您挑选，欢迎来电咨询
可短租 历山路 东仓 花园小学 山大南路 老东门大明湖 长盛,2室1厅1卫,整租,60O,南,中层 / 6层,长盛小区,历下老东门 - 东关大街38号,1700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋亮点配套齐全精装修房源描述1.【配套】房子精装修，安静温馨，全套家具家电齐全，拎包即住，可做饭，双网双气全新家具，干净卫生！2.【环境】小区周围超市，银行，菜市场，各种小吃餐馆，健身中心，娱乐场所等生活设施一应俱全，东临千佛山、金鸡岭，北邻植物园，西邻六里山。爬山锻炼绿化空气质量高。早餐5点晚餐凌晨2点吃饭非常方便，济南大型夜市2个，大超市3个满足您的各种生活需求！3.【交通】出门就是公交站牌，多路公交，济南各城区，火车站均有直达，解决您上下班的忧虑！4.【物业】小区环境优雅，绿化率高，干净卫生，居住温馨舒适，管理规范，治安为城区，安全有保障，是您的租房必选！欢迎致电，随时看房
精装大2室拎包即可住,2室2厅1卫,整租,98O,南,中层 / 11层,鲍新苑,历城工业北路 - 朝山街,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.小区配套设施齐全，环境优美，管理规范，，商店餐馆诊所应有尽有，生活方便，交通便捷。2.南北通透采光好，楼层适中，记住舒适！3.距离市立三院，华联超市，只有一公里的路程，正在修建地铁，高架桥入口附近，距离新东站只有3公里路程。4.家具家电齐全，宽敞的厨房让家人更可以展现厨艺，有车位地下室。5.停车方便，绿化率35%，让你体验花园一样的家。
甸柳游园 解放路 益寿路 二环东路 鼎峰中心对面 甸柳庄社区,2室1厅1卫,整租,75O,南北,低层 / 6层,甸柳庄社区,历城工业南路历城段 - 解放路1号,1499,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.租金便宜：业主人很随和，很好说话，只要租户稳定，基本是没什么问题的；2.房屋介绍：房子户型正气，南朝向，采光跟通风都是没得挑，阳光很充足，原是业主自住的装修，带成套家具家电，可以拎包入住；3.随时看房：您只需提前跟我电话预约，即可免费带您去看房；户型：精装装修情况：户型正气，阳光超好，非常干净，空调、热水器、床、洗衣机、冰箱、电视，都有的。4具体的装修情况可看实拍照片温馨提醒：正规的中介机构均为免费看房，如签合同须签约本人同时出示与出租地址相符的房产证，交钱时应索取相应收据。5带客户看的每一套房子都是本人提前去看过的房子，对客户负责，用诚挚的服务，帮每一个客户找到自己满意的房子！不是你没有遇到合适的房子，而是没有遇到为你们全力以赴的房产经纪人，选择我――点击我的头像，进入我的店铺，更多房源已为你准备好。
诚基一室，采光足视野好温馨如家，山师东路和平路，家电齐拎包住,1室0厅1卫,整租,43O,南,高层 / 12层,诚基中心,历下和平路 - 和平路47号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
花园小区(三区) 2室1厅1卫,2室1厅1卫,整租,65.00O,南,中层 / 6层,花园小区(三区),历城黄台南路 - 黄台南路,1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",一、房源优势：1、全明格局，客厅宽敞大气；2、地段，楼层；2、家私家电齐全，提包入住；二、户型介绍：1、格局方正，使用率高达90。2、客厅宽敞舒适、落地阳台让充足的阳光不留余地的闯进来。3、厨房宽敞，让您和家人有足够的空间展现私家厨艺。4、连接客厅和厨房之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友。
可月付 汉峪金谷 舜泰广场 奥体 软件园 重汽 软件园 美莲,1室0厅1卫,整租,45O,北,低层 / 11层,林景山庄公寓,历下经十路历下段 - 经十东路3366号,1299,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎关注房产经纪人：侯泽彬只需说明您的需求和价位、我就可以给您匹配适合您的房源，轻松帮您找到您满意的房子房源分布：高新区、历城区、历下区房源价格区间：800/2400房源户型：大开间、一室一厅、两室一厅房源描述：床衣柜沙发电视冰箱洗衣机空调热水器宽带暖气可做饭阳台独立卫生间一.房源优势1.周围具备商场，超市，小学，医院，公交站，生活方便2.房间配置美嘉大床、双门衣柜、床头柜、精美桌椅、晾衣架3.房间里面配置冰箱、全自动洗衣机、热水器、无线网（家电齐全），独立厨卫。二.服务优势。1.房间都是实景拍摄，看房只需几！2.房租可以月付，季付，半年付，年付，
新房两室 全福立交核心 荣盛时代 路劲东城 华福国际山大二院,2室2厅1卫,整租,107O,南北,中层 / 29层,路劲东城,历城全福 - 二环东路239号,3300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",",验房实勘真实有效无中介fei1.房子干净整洁家具家电齐全可随时入住2.房主诚意出租3.周边配套齐全，应有尽有，满足一切生活需求。"
山钢锦绣华府 三孔桥 龙都 北园大街 精装大三室 拎包入住,3室2厅1卫,整租,100O,南,中层 / 33层,山钢锦绣华府,天桥三孔桥 - 三孔桥街57号,3500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","房源覆盖：历城区，天桥区，高新区，历下区！整租合租精装豪装房源多多欢迎质询＋↓1，随时电话联系看房2，标配宜家风格家具，WIFI,热水器，洗衣机，等等设施齐全3，提供上门维修服务4，定期保洁卫生间，公共区域客厅5，专属管家服务，安全保障6，精致小雅间，多样户型任您挑选7，上班族学生族，给你一个温馨舒适的家8，全部实拍图，无P图，精装修，适合追求精致小资生活的人士"
