标题,户型,租房方式,房屋大小,房屋朝向,楼层,小区名称,地址,房租,地铁,房屋配置,房屋描述
可月付 建筑大学 体育大学 汉峪金谷 舜泰广场 雪山路 精装,1室0厅1卫,整租,40O,南,中层 / 33层,建大花园,历城建筑大学 - 凤歧路2888号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",质房源出租:独立厨卫房源出租区域：高新区、历下区、历城区、唐冶区出租房源描述：独立厨卫一居，家具家电齐全，拎包入住，交通便利，生活设施齐全，住户长租包管理、维修，小区出行方便。价位：性价比颇高，良心价位800-1500，都是独卫。合租房源：600-800，两户合租，卫生干净。环境优美，不良客户不要，只租正常上班年轻人，上班点正常且白班。负责小区：山水华府、舜奥华府、东城逸家逸贤园、华皓英伦联邦、三盛国际、涵玉翠岭、兴旺家园、汉峪海风、瀚裕华园、凤凰国际、北湖小区、林景山庄、金域华府、三庆城市主人、三箭汇福山庄、天齐奥东花园、建大花园、恒大奥都新都、金域蓝
新出~锦绣泉城~精装两居~南北通透~家具家电齐全~领包住,2室2厅1卫,整租,98O,南,低层 / 20层,锦绣泉城,历城华龙路 - 华龙路999号,1850,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
汉峪金谷重汽旅游路瀚裕华园正规两室家具家电齐全随时看房,2室2厅1卫,整租,96O,南,中层 / 29层,瀚裕华园,高新汉峪 - 旅游路,2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房源描述：（1）交通地段枢纽近公交站点（2）全明户型采光极好生活方便（3）配置齐全家电家具全新（4）装修保养好房型设计布局合理适宜居家（5）物业管理好环境优雅绿-化-率-高
草山岭 奥体中心 金域中心 万科中心  舜泰广场 精装两室,2室1厅1卫,整租,86O,南,中层 / 25层,草山岭东区,高新汉峪 - 经十路,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....房源优势：1.精致装修一客一锁可做饭2.不像*房居住人多且杂，合租四间多，品牌只为专属的你。3.小区*，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客*，三有不租，养宠物者不租，带老人者不租，无正当职业者不租，带小孩者不租，让合租的你住的更有品质。5.公司自己的房子，不是骗人，真的不收*。6.服务周到，带你看遍济南商圈所有*，相信我，成就你。7.无线宽带、衣柜、大床、电脑桌、晾衣架、空调、24*热水器、暖气、冰箱、洗衣机、全套厨房可做饭.
鑫苑名家，位置好，环境优美，价格合适，家具家电齐全，拎包入住,1室1厅1卫,整租,60O,南北,中层 / 33层,鑫苑名家,天桥历山北路 - 水屯北路5号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.小区北面是小清河，步行100米到五柳闸公园，有世纪华联超市建设银行中国银行农业银行工商银行齐鲁银行北京银行工商银行等。北边是黄台茶叶市场，黄台家具，黄台电子产业园，北园有银座・华联・居然之家・红星美凯龙，山大二院，欧亚达家具等。2.鑫苑名家是鑫苑地产开发的大型商品房社区，小区分为5个区，分别是听涛苑，龙跃苑源泉苑，观澜苑和梦溪苑；分为洋房和高层高层，内部环境优美，物业管理规范，小区封闭式管理，门口有24有保安值班，都是电梯房，物业也是鑫苑物业，物业管理很好3.有31路，36路，69路，79路，84路公交车站，东边是历山北路，南边是北园高架，西边是顺河高架
联四路 臧家屯小区 2室1厅 1楼带院开后门 2台空调冰箱,2室1厅1卫,整租,76O,南北,低层 / 6层,臧家屯小区,天桥北园 - 联四路,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",凤凰山路省建房产刘恩振为您介绍此房：1.位置：北园联四路北段臧家屯小区2.交通：30路、66路、501路车途经小区，交通便利；可到达缤纷五洲、凤凰广场、泺口服装城、汽车站、中恒商城、洪家楼、泉城广场3.周围配套：商贸一条街：菜市场、超市、各类商店，生活购物方便；学校：国棉一幼儿园、锦苑小学、初中；联四小学、等等；4.房屋介绍：两室一厅，卧室朝阳；家具家电齐全；大院传达，停车方便，拎包入住。房主诚意出租。省建房地产公司大量随时免费看房欢迎来电咨询如了解更多房源请拨打下方我的电话或点击此页面右上角我的头像进入我的店铺
全新家具家电  精装电梯空调 拎包入住 长途客运站旁,1室1厅1卫,整租,35O,南,高层 / 24层,影山邻里中心,"天桥无影山 - 无影山西路,近无影山中路",1300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",【户型】南向，一室一厅，采光充足，经典户型，布局合理，超值的利用率！【配套】配套齐全，生活方便，居住起来温馨舒适！【产权】房主出租，可放心居住！如果这套房不是您的理想房源，更多请点击“我的网络店铺”或“直接咨询”。
万达旁 精装两室2400  配套齐全 环境舒适 领包入住,2室2厅1卫,整租,98.00O,南北,中层 / 32层,万达华府,高新国际会展中心 - 工业南路,2400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '沙发', '衣柜', '暖气', '宽带', '可做饭']",1房子干净卫生卫生，住得舒心，省心2.小区，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。3.服务周到，带你看遍济南高新区商圈所有房源，相信我，成就你。4.衣柜、大床、电脑桌、晾衣架、空调、24热水器、暖气、冰箱、洗衣机房间特点：1所有客房标配宜家风格家具2配套优势宽带、有线已开通，3周边公交、商场、超市、医院、等一应俱全4物业管理正规小区，24保安，居住安全省心欢迎爱干净、爱惜房子人士，随时看房本公司有多套房源，整租合租均有。
全福荣盛广场 大润发 红星美凯龙附近一室公寓出租拎包入住,1室1厅1卫,整租,55O,南,中层 / 30层,荣盛时代国际,历城全福 - 北园大街,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近交通方便紧邻全福立交北园高架出行方便房子干净整洁出租住新房体验美好生活！屋内家具家电齐全拎包入住！附近商圈荣盛时代路劲东城印象城全福立交华福国际华福维嘉济南第一张中学东兴寓城山东济钢中学电力建设第一工程公司名辉豪庭明福苑石桥小区丰汇小区鑫苑名家林业大厦齐鲁师范学院历下校区长盛小区南全福北全福大润发洪楼广场金桥国际富翔天地保利海德公馆辛甸花园黄台大酒店奥斯卡酒吧金色港湾华联超市银座奥特莱斯大明湖华山风景区图书馆山东大学第二医院山东大学中心校区济南长途汽车东站！
长清湖公寓 1室一厅 家具齐全 双气 1200,1室1厅1卫,整租,42O,南北,低层 / 17层,中建长清湖,"长清长清湖 - 芙蓉路,近海棠路",1200,距离地铁R1号线创新谷站993米,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1.中建长清湖的房子是成熟型的小区。小区吧整体还不错。2.租赁生活成本低，物业费是1.8元/平方.3.此小区周边靠近大学，还有商业配套全，需求量大，租赁房源流通速度快，所以建议提前开始找房，希望找到您称心如意的房子。4.本小区有从10几平的单身公寓，各种面积需求，各种户型需求应有尽有，但是记住本小区需求量大，大，价格高，高，所以提前规划您的用房，有时候不一定有适合您的房子！
新出~七里河小区~精装修~南北通透~家具家电齐全~领包住,2室2厅1卫,整租,114O,南北,低层 / 6层,七里河小区,历城七里河 - 七里河路,1650,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
景和山庄 3室2厅2卫 2700元月 配套齐全 电梯房,3室2厅2卫,整租,130O,南,低层 / 18层,景和山庄,"历城建筑大学 - 凤鸣路,近经十路",2700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房源真实，南北通透，房屋宽敞，干净卫生，采光好，视野棒。免费wifi，家具家电等基本设施齐全随时拎包入住，给您一个方便温馨舒适的居住环境。2.房屋人员问题：为了营造干净、温馨、和谐、安全的居住环境，租客都是有素质的上班族，公司绝不租给不三不四，生活无规律，无正当职业，大吵大闹的租客。3.免费维修家具家电，配有专业维修后勤团队，免去生活烦恼。4.小区介绍：地处成熟商圈，周围菜市场，超市，饭店，小吃街，银行，娱乐场所等生活设施一应俱全。小区绿化环境好，保安24巡逻，居住安全可靠。服务保障：1.入住安全放心有保障。2.公共区域定期保洁，居住环境好。3.我们在济南各地均有房源，只要您一个电话，我们风里雨里免费带您看房。让您在这个城市找到一个属于自己的温馨小窝。
千佛山B格满满客厅影院级沙发精美衣帽间精装两室好房开窗见山,2室2厅1卫,整租,93O,南北,共5层,塑料七宿舍,历下环山路 - 环山路138号,2700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1房子为两室两厅一卫户型，南北通透，卧室朝阳。2家电家居齐全，客厅超大电视，影院VIP厅同款沙发，厨卫设施齐全，房主之前自用，非常齐全方便3小区环境很好，安静舒适。卧室开窗见山4欧式大床，精美衣帽间B格满满的精装好房5周围配套设施健全，有千佛山医院，省中医，银座超市，东方双语学校，外国语学校等
汉峪金谷舜泰广场周边精装三室，家具家电齐全，民水民电，可月付,3室2厅2卫,整租,144O,南北,中层 / 33层,汉峪金谷金寓,"高新汉峪 - 龙奥北路,近舜华南路",3000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",水费电费都是正规居民用电用水费用标准；无乱收费现象；照片实拍；可靠真实！交通便利，紧邻公交车站！周边生活设施齐全，商场、超市、菜市场、银行、医院、学校等应有尽有！户型朝阳，南北通透，暖气空调齐全，冬暖夏凉！【周边环境】居家环境成熟，生活配套设施完善！随时看房拎包入住！
中国MALL城市之星 3室2厅2卫 2000元月 精装修,3室2厅2卫,整租,115O,南,中层 / 26层,中国MALL城市之星,"市中鲁能领秀城 - 英雄山路,近阳光东路",2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",三室两厅两卫，家具家电齐全，房主着急出租，电梯房，位置优越，方便出行，小区物业做的很到位，绿植高，人车分流，老人小孩在小区内玩很安全，小区旁边有各大银行，超市北京华联，购物广场，贵和购物广场，完全可以完全满足日常的居住要求。
拎包入住 一室一厅 家具齐全 集中供暖 看房方便,1室1厅1卫,整租,20O,北,低层 / 22层,实力伴云居,"槐荫经十西路 - 经十路,近腊山北路",1000,无,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '可做饭']",小区介绍：环境舒适宜人封闭式花园小区小区内有超市，周边有明星菜市场和腊山农贸市场房源介绍：房屋家具家电设施齐全采光好，全明户型附近有81路109路78路96路202路等多路公交车出门交通便利，地铁口就在小区对面，小区内有地上地下停车位
无中介f拎包入住洪家楼印象城山东大学彼岸新都海蔚广场家电齐全,1室1厅1卫,整租,50O,南,高层 / 12层,广厦聚隆广场(商住楼),历城洪家楼 - 洪家楼南路1号,2100,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",下面就是印象城，旁边还有洪楼夜市，非常热闹，山东大学，距离宽厚里，大明湖两公里，拎包入住，家具家电齐全。可根据租客个性化需求配家具，无任何费用，带办车位，代办租房补贴！！！！！！
中物世纪芯好房 家电家具齐全 急租 精装修 近东8区 经十路,1室1厅1卫,整租,29O,南,低层 / 27层,中物世纪芯,"历城唐冶 - 唐冶西路,近世纪大道",1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房子干净明亮，装修风格时尚，家电齐全，拎包入住，周边餐饮娱乐菜市场公交站齐全，可洗澡做饭，长租价格可议，欢迎咨询
家具齐全，简单装修，紧挨着学校，交通便利，停车方便,2室2厅1卫,整租,80O,南北,中层 / 6层,乐天小区(三区),长清恒大绿洲 - 大学路958号,1200,无,"['床', '沙发', '暖气', '可做饭', '阳台']",房子户型好，简单家具，价格可议，紧挨着学校，环境优美
精装南北通透大四室 家具家电配套全 临商业街出行方便 随时看,4室2厅2卫,整租,144O,南北,高层 / 18层,阳光100国际新城(B...,槐荫阳光100 - 阳光新路,3500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1【户型优势】阳光100南北通透，高层精装大四室，家具家电配套齐全。超大客厅、卧室全明户型，高层采光通风非常好，居住舒适。临近商业街，近车站，购物出入方便。随时可以看房！近美乐汇商场，购物娱乐影院KTV一应俱全！2【房屋现状】高楼层，舒适安静。3【】4所幼儿园、2所小学、1所中学（外国语中小学九年、阳光100小学）让您的孩子不出小区轻松入托、入学，坐享教育资源。4【商圈优势】阳光100国际新城是经十路和谐广场商圈大的成熟社区，地理位置优越，设施配套齐全，餐饮、购物、娱乐、出行一步到位，让你的生活更加方便快捷。
泉城广场 齐鲁医院 新闻大厦 天鹅大厦 朝山街 恒隆世贸广场,1室1厅1卫,整租,49O,南,中层 / 6层,朝山街单位宿舍,历下泉城路 - 朝山街17号,1889,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",一・【低价方便】1、水费电费都是正规居民用电用水费用标准；绝无乱收费现象；2、交通便利，短时间就可以步行到公交站牌；3、周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！4.实拍照片，真实可靠！二、【周边环境】1.闹中取静（非常静谧的地方），居家环境成熟，生活配套设施完善！2.物业管理，安全规范！三、【更无任何/中/介/费/用】1.随时看房拎包入住！2.年龄超过40岁，孕妇、带小孩的、养宠物的，有不良嗜好的我一律不租，因为我这里的租客都是高素质的年轻人毕竟谁也不想自己的家乱七不糟，自己居住的地方吵吵闹闹，我力所能及的就是让我的房客住的安全舒适，谢谢合作！
个人房屋免中介水网物业费免租一月精装一室一卫900到1300,1室0厅1卫,整租,25O,南北,共4层,重汽彩世界,天桥济齐路 - 无影山中路130号,900,无,"['空调', '热水器', '床', '衣柜', '宽带', '可做饭']",公寓属于个人房源，无中介费，价格在900到1500不等，免物业费，免宽带网线费，免水费。公寓简介（酒店式管理宾馆式服务）公寓房间注重细节的打造，精心营建舒适实用房间，房间为开放式设计，配有开放式厨房与独立卫生间。地理位置：位于天桥区无影山中路与济齐路交叉口，临近马路，公交车辆多，交通方便，周边有大型超市，饭店，蔬菜市场、超市，早餐点等室内设施：室内设施齐全，每一间都有独立卫生间，开放式厨房，全新空调，全新全套家具。安保措施：有专业安保人员，24值班门卫，各个楼层都有监控，门禁卡管理，一人一卡制，有消防设施齐全。真诚欢迎来自各地的朋友们入住，我们将不遗余力为您打造一个温馨舒适的居住小窝！
O中介  恒大城公寓 家具家电齐全 干净明亮 双气 随时看房,1室1厅1卫,整租,36O,南,中层 / 30层,恒大城(商住楼),历城王舍人 - 工业北路,1200,距离地铁R3号线王舍人站277米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1拎包入住采光好房子空间大2生活方便舒适离王舍人地铁口很近交通便利3附近购物超市居多购物方便快捷
年底促销一室一厅1400，实图实价没有一点水分山师东路和平路,1室1厅1卫,整租,53O,南,高层 / 10层,诚基中心,历下和平路 - 和平路47号,1400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
新出~锦绣泉城~精装两室~两室朝阳~家具家电齐全~领包住,2室2厅1卫,整租,87O,南北,中层 / 18层,锦绣泉城,历城华龙路 - 华龙路999号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
七里堡小区出租 精装修 附近银座购物广场 山东大学洪家楼校区,2室1厅1卫,整租,77.31O,南北,高层 / 6层,七里堡小区,历城七里堡 - 二环东路1728号,1799,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']","【格局】2室1厅1卫，采光好，视野无遮挡。【价格】租金1799元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：113路（七里堡小区站)公交：brt4路,k93路,k55路,75路,106路,165路,70路,46路（鑫达小区站)大学：山东大学、工会干部学院、银行学校商场：洪楼大润发超市、银座洪楼店、乐购、七里堡茶城、易购商场、环联小商品、七里堡蔬菜批发市场、环联小商品市场、百代商城医院：济南市历城中医院社区服务中心、齐鲁中西医门诊部、爱尔眼科医院邮局：洪楼邮电支局邮政储蓄银行：交通银行二环东路支行、农业银行、工商银行、建设银行、农村信用社其他：金宝座大酒店、鲁菜皇大酒店、陶然居、幸福时光KTV、挑战麦克风、七里堡菜市场小区内部配套：国医堂诊所"
千佛山国华金鸡岭独栋别墅 独门独院好停车 办公会所接待随时看,7室2厅2卫,整租,350O,南北,共2层,金鸡岭别墅,市中八里洼 - 旅游路,16000,无,"['空调', '热水器', '宽带', '可做饭']",千佛山下舜耕山庄东国华东方美郡金鸡岭独栋别墅好位置，靠近旅游路，独门独院好停车户型格局好，房间大，做办公室办公，餐厅接待都很好用随时联系我看房，装修好，可直接使用
财富壹号融悦段店世购旁 精装修双气电梯房 拎包入住 干净整洁,3室2厅2卫,整租,116O,南北,中层 / 30层,剑桥府邸,槐荫腊山立交桥 - 经十西路27616,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎光临我的个人网上店铺我将竭诚为您服务1、位置：经十路世购段店财富壹号附近，附近有五院，儿童医院，森林公园，舜和国际酒店，省立医院西院，华联超市，和谐广场，财富壹号段店市场，生活设施齐全等2、户型：经典三室两厅，南北通透，户型方正，采光好、全明格局，客厅宽敞大气。3、社区：剑桥府邸，花园式封闭社区，绿化环境好，环境优美且安静，人文素质高，物业管理完善，小区治安好，停车非常方便4、配套：家电家具齐全，双气，电梯房，精装修，干净整洁，伶包入住！5.业主诚心出租，好房不等人本人承诺：在带看过程中不收取任何费用，房子满意后，双方签约合同！详情扫码咨询。。。希望您是讲卫生的好租客，安静不闹的好邻居!
年底促销实图实价，采光好性价比高，临山师华强省医泉城广场诚基,1室0厅1卫,整租,42O,南,高层 / 12层,诚基中心,历下和平路 - 和平路47号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
景苑小区 三室两卫 家具家电齐全  实图 随时入住,3室2厅2卫,整租,124O,南北,中层 / 11层,景苑小区,高新经十路高新段 - 经十路,2100,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱电脑桌沙发茶几空调冰箱洗衣机热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
西客站~大尧风华盛景  拎包入住 干净舒适  3室2厅1卫,3室2厅1卫,整租,98O,南北,中层 / 23层,大尧风华盛景,"槐荫西客站 - 腊山河西路,近兴福寺路",2500,距离地铁R1号线方特站1488米,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1.装修清爽，此房精装修，干净清爽2.户型好，室内采光好，3.交通便利：周边公交站点多，周边公交4.生活便利：小区地处，周边大银行，商店生活十分便利！家具家电齐全业主诚心出租价格可谈有需要的随时可以联系我
豪华一室，采光好视野好可短租可月付，家电齐全拎包入住，诚基。,1室1厅1卫,整租,42O,南,高层 / 12层,诚基中心,历下和平路 - 和平路47号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
